,main_category,category,year,usd_pledged_real,pledged_minmax,x,y,success_rank
241,Crafts,Weaving,2012,5780.0,5.002595684492461,9.180352081693393,4.951161852161128,3.0
242,Crafts,Weaving,2013,2331.0,5.000963205314033,17.903937449973476,1.8575004384884242,3.0
243,Crafts,Weaving,2014,12666.509999999998,5.005855204407519,8.186109242083273,9.161612982295168,3.0
244,Crafts,Weaving,2015,33415.590000000004,5.015676149919706,4.236336032607641,18.32067378896267,3.0
245,Crafts,Weaving,2016,27511.209999999995,5.012881491348663,18.686371852732332,18.57911773095207,3.0
246,Crafts,Weaving,2017,379269.76,5.179375695091474,2.383508983859581,4.784571253937365,3.0
247,Crafts,Woodworking,2012,11906.689999999999,5.005495566735918,7.455636719107098,6.304680293560608,3.0
248,Crafts,Woodworking,2013,23396.0,5.010933681943079,15.508703274940217,11.733899032914737,3.0
249,Crafts,Woodworking,2014,159809.05000000002,5.0755006473796795,7.105605727598784,14.930601318596583,3.0
250,Crafts,Woodworking,2015,800313.7200000002,5.378664038931078,19.31514459729513,9.254041464385837,3.0
251,Crafts,Woodworking,2016,486641.1099999999,5.2301966557277995,15.126437500527533,4.108651527348892,3.0
252,Crafts,Woodworking,2017,374602.2599999999,5.1771664760235385,6.857825259007061,11.663470136313649,3.0
253,Dance,Dance,2009,21778.489999999998,5.010168082814086,17.405160860606255,15.948611717091433,15.0
254,Dance,Dance,2010,348587.41000000003,5.164853138547481,18.513626664288985,5.544541817350286,15.0
255,Dance,Dance,2011,1093371.1800000002,5.51737386831146,10.765901818971725,16.279991008677705,15.0
256,Dance,Dance,2012,1759943.4900000002,5.8328755838787325,3.727439040604422,9.249305443060877,15.0
257,Dance,Dance,2013,2265209.6699999995,6.07202795222137,2.9776657821784878,19.978281728130995,15.0
258,Dance,Dance,2014,1336837.2600000005,5.632611127300569,16.54064940171768,4.104926012928469,15.0
259,Dance,Dance,2015,586895.09,5.277648825894374,17.871255462565074,8.378634014630023,15.0
260,Dance,Dance,2016,545065.2499999999,5.257849944236803,13.4235747075507,5.15318164649096,15.0
261,Dance,Dance,2017,336769.08,5.159259291737162,15.703414589640776,2.585388978269177,15.0
262,Dance,Performances,2014,971249.8799999999,5.45957146776274,16.079513705458865,12.923806117933488,15.0
263,Dance,Performances,2015,872959.7499999999,5.413048826223174,5.505464673918352,8.96819996063839,15.0
264,Dance,Performances,2016,884316.2200000002,5.41842406565937,5.051384213174942,18.45985276100902,15.0
265,Dance,Performances,2017,649224.52,5.307150564565953,17.484730482232557,16.528468736601358,15.0
266,Dance,Residencies,2011,3262.78,5.0014042350179695,16.945695853282466,1.226906149424142,15.0
267,Dance,Residencies,2012,1565.0,5.000600642527522,9.28712778637973,9.89444275480549,15.0
268,Dance,Residencies,2013,16668.87,5.007749599700234,6.134538218028925,14.983021741192248,15.0
269,Dance,Residencies,2014,54345.31,5.025582595878048,2.4962047327047117,3.4301237262966158,15.0
270,Dance,Residencies,2015,37459.29,5.017590112243223,8.684234302153365,14.094857399687688,15.0
271,Dance,Residencies,2016,63023.74,5.029690266587369,18.27076159629943,5.9763762546740535,15.0
272,Dance,Residencies,2017,52480.63,5.024700006352264,4.8641757424500165,14.428670957778802,15.0
273,Dance,Spaces,2012,5021.0,5.002236434942903,7.0011958124218445,11.943393811719472,15.0
274,Dance,Spaces,2013,18443.0,5.00858933013944,1.6685151570339145,1.0280889424713149,15.0
275,Dance,Spaces,2014,288216.17000000004,5.136278249514176,11.808940902792253,14.745257597535693,15.0
276,Dance,Spaces,2015,154896.34999999998,5.073175370354495,2.141603132251601,3.393897141102489,15.0
277,Dance,Spaces,2016,203873.16999999998,5.096357057474125,13.823018180952857,18.200056376859248,15.0
278,Dance,Spaces,2017,152476.03,5.072029785545816,10.34860350694198,13.760202906762071,15.0
279,Dance,Workshops,2011,1050.0,5.000356882951735,9.040207159450555,1.8362517245665977,15.0
280,Dance,Workshops,2012,11839.0,5.005463527734587,5.927080065735017,1.5910031187860727,15.0
281,Dance,Workshops,2013,2300.0,5.00094853240753,6.749037314484113,5.684391532330878,15.0
282,Dance,Workshops,2014,51254.62,5.024119711832825,17.967473899355813,12.806223807196208,15.0
283,Dance,Workshops,2015,70890.29,5.033413658608551,18.874288581942153,5.579439624497966,15.0
284,Dance,Workshops,2016,65068.409999999996,5.030658048901591,15.287607870125598,15.086148353064276,15.0
285,Dance,Workshops,2017,67325.84,5.031726534686387,5.046579723042478,1.8462454819633551,15.0
286,Design,Architecture,2010,7649.0,5.003480318758765,4.952988864657538,6.979705579861709,8.0
287,Design,Architecture,2011,25065.0,5.011723652296457,7.8925093263823305,3.412255058798391,8.0
288,Design,Architecture,2012,20394.449999999997,5.009512989603849,17.64096875069093,14.387777242513211,8.0
289,Design,Architecture,2013,61275.8,5.028862932387559,18.914037791806148,15.778733334442425,8.0
290,Design,Architecture,2014,530165.3800000001,5.250797544255277,5.369682524524892,5.648574524890826,8.0
291,Design,Architecture,2015,1263136.5300000003,5.597727129863651,13.034914113571446,9.718603509829094,8.0
292,Design,Architecture,2016,1881295.2400000005,5.890313741356487,8.214995737042685,14.526839401706637,8.0
293,Design,Architecture,2017,1017521.42,5.481472692930553,9.655757706762499,16.43847845002477,8.0
294,Design,Civic Design,2011,76056.13,5.035858751748328,4.754932878506587,4.252754092233264,8.0
295,Design,Civic Design,2012,197874.25,5.093517651271442,14.70992010467998,4.709529893143897,8.0
296,Design,Civic Design,2013,358094.97,5.169353252707427,15.859156954108766,10.209936289510226,8.0
297,Design,Civic Design,2014,492790.06,5.2331070740647645,18.84981854333716,1.6096520166724244,8.0
298,Design,Civic Design,2015,713693.76,5.337665117175134,10.199521526807796,16.1268222657776,8.0
299,Design,Civic Design,2016,680151.98,5.321789136468435,9.392564486453958,4.259858215009036,8.0
300,Design,Civic Design,2017,794858.64,5.376082042840426,13.279562470833076,13.938261716487485,8.0
301,Design,Design,2009,3281.0,5.001412858900437,3.494567010386528,9.966156856538223,8.0
302,Design,Design,2010,94406.2,5.044544198891759,17.690771440293826,14.79518707282702,8.0
303,Design,Design,2011,1174122.1300000001,5.555594872809362,15.59172994257035,6.873232380118722,8.0
304,Design,Design,2012,3110899.9299999992,6.472309697901044,5.3270484359683135,10.487065600710247,8.0
305,Design,Design,2013,8883299.389999997,9.20449929721038,8.635009483921504,1.3938118619520727,8.0
306,Design,Design,2014,7510180.949999996,8.554575474996616,10.234603266087213,17.86376776782947,8.0
307,Design,Design,2015,14831068.99,12.019695014834582,17.18603606939694,14.293211560595626,8.0
308,Design,Design,2016,16872081.650000002,12.985746238481306,14.162143789937527,2.3655322069732696,8.0
309,Design,Design,2017,20032974.880000006,14.481858845964176,5.544087635033806,9.926841469720028,8.0
310,Design,Graphic Design,2009,13889.349999999999,5.006433998503938,19.071672822026997,9.43137130475834,8.0
311,Design,Graphic Design,2010,131684.09000000003,5.062188553557089,18.668268308552513,11.382027678750784,8.0
312,Design,Graphic Design,2011,180696.19999999998,5.0853869441241555,17.29823129845662,8.204671795676274,8.0
313,Design,Graphic Design,2012,1084861.18,5.513345918816412,10.36086362764498,6.567921802931267,8.0
314,Design,Graphic Design,2013,2161729.890000001,6.023048947803193,9.990879303698742,6.3883887116134215,8.0
315,Design,Graphic Design,2014,2411061.69,6.141062566828976,8.723846179174037,16.460432992689633,8.0
316,Design,Graphic Design,2015,2163804.2399999993,6.0240307782420945,19.576853359924034,14.109201511501034,8.0
317,Design,Graphic Design,2016,1118877.9899999998,5.529446740515899,10.148072919919036,15.847945747332405,8.0
318,Design,Graphic Design,2017,1771894.2099999993,5.838532093466213,19.230698323736668,10.285302640298447,8.0
319,Design,Interactive Design,2013,142816.71,5.067457840408741,4.495310533325771,19.09855926214025,8.0
320,Design,Interactive Design,2014,193374.46999999997,5.091387817360887,1.575721532311323,10.975463645321437,8.0
321,Design,Interactive Design,2015,788011.5599999997,5.372841185915801,9.971084545922524,17.26975775648788,8.0
322,Design,Interactive Design,2016,521958.45,5.246913043720683,4.777029111826559,12.157109539467559,8.0
323,Design,Interactive Design,2017,471654.30000000005,5.223103105343324,5.874943910437994,11.964032838417872,8.0
324,Design,Product Design,2009,36437.87,5.017106654173513,1.6840281209727845,13.215361037984982,8.0
325,Design,Product Design,2010,1495845.0300000003,5.707872615770629,3.363830451152089,16.932272808343367,8.0
326,Design,Product Design,2011,12043780.749999994,10.700416958564158,9.381029986044359,9.801134625376763,8.0
327,Design,Product Design,2012,44265982.87999998,25.951815642332505,2.663348332657695,1.6671813033538658,8.0
328,Design,Product Design,2013,56954557.39000001,31.957566205250693,6.631081216929208,17.073616411974673,8.0
329,Design,Product Design,2014,84187955.93999992,44.847666550481435,12.637517871568747,2.242881925770874,8.0
330,Design,Product Design,2015,139124665.34000003,70.85028592619591,5.939104237372574,7.315401567579995,8.0
331,Design,Product Design,2016,158455609.49999988,80.0,6.916119987509125,8.395042977035054,8.0
332,Design,Product Design,2017,131873133.78000003,67.4179941652762,8.19000914566169,12.675101046530694,8.0
333,Design,Typography,2011,78070.61,5.036812244544895,6.002266827043902,3.592707991144704,8.0
334,Design,Typography,2012,33257.23,5.01560119503345,11.70412592324045,12.609049429853075,8.0
335,Design,Typography,2013,69583.86,5.032795299729725,15.76010592510681,14.837885053354535,8.0
336,Design,Typography,2014,1538594.77,5.72810690409571,1.5911953484649488,18.063986729548574,8.0
337,Design,Typography,2015,269530.01,5.1274337243982675,11.19286258081892,7.6818840145609455,8.0
338,Design,Typography,2016,107956.93,5.050958024515852,11.16010512131833,9.933808939171085,8.0
339,Design,Typography,2017,190884.81,5.090209412573596,18.446908595875886,16.370368736696427,8.0
340,Fashion,Accessories,2012,27869.0,5.013050840355694,14.377806820392038,8.803866760906072,4.0
341,Fashion,Accessories,2013,500261.27,5.2366433439292654,6.218965974424445,8.625120625789899,4.0
342,Fashion,Accessories,2014,2828951.0899999994,6.338857795702762,12.705545691240891,2.937920903804946,4.0
343,Fashion,Accessories,2015,6419773.07,8.03846409195991,18.112668195014663,15.899942499084204,4.0
344,Fashion,Accessories,2016,4784810.200000005,7.264604178136322,19.076974258073797,2.8759189647707943,4.0
345,Fashion,Accessories,2017,5859119.569999998,7.773095821428546,15.582607198696614,9.872847265717748,4.0
346,Fashion,Apparel,2013,1097482.75,5.519319954833828,3.043937450852318,3.3059668465054104,4.0
347,Fashion,Apparel,2014,6521422.460000002,8.086576736980174,8.06668978983474,13.610445618027551,4.0
348,Fashion,Apparel,2015,10241812.39,9.847510078922035,10.095298025627507,5.7747951780704145,4.0
349,Fashion,Apparel,2016,12229460.270000001,10.788302708132289,7.256048390673504,13.752869276167935,4.0
350,Fashion,Apparel,2017,8716521.660000002,9.125560134655887,15.414548277069416,2.70934631676532,4.0
351,Fashion,Childrenswear,2013,51907.0,5.024428496050402,10.366669520519514,18.612896917005223,4.0
352,Fashion,Childrenswear,2014,273123.64,5.129134659785328,19.59242798518185,6.720130655093527,4.0
353,Fashion,Childrenswear,2015,745689.1399999999,5.352809156507081,1.1486795128698826,14.156878319283683,4.0
354,Fashion,Childrenswear,2016,254465.41999999995,5.120303359218055,16.35019687651664,18.836045668143814,4.0
355,Fashion,Childrenswear,2017,355326.37999999995,5.1680428248939725,3.158042480186033,8.629022271588152,4.0
356,Fashion,Couture,2010,2232.0,5.000916346677134,10.853084325540935,18.485585360528603,4.0
357,Fashion,Couture,2011,1876.0,5.000747844912124,3.828584031606855,18.21427584393232,4.0
358,Fashion,Couture,2012,5127.0,5.002286606816754,8.263573118957826,11.119112775793242,4.0
